year,genus,species_id,weight
1977,Dipodomys,DS,149
1978,Neotoma,NL,232
1979,Neotoma,NL,274
1980,Neotoma,NL,243
1981,Neotoma,NL,264
1982,Neotoma,NL,252
1983,Neotoma,NL,256
1984,Neotoma,NL,259
1985,Neotoma,NL,225
1986,Neotoma,NL,240
1987,Neotoma,NL,278
1988,Neotoma,NL,248
1989,Neotoma,NL,275
1990,Neotoma,NL,243
1991,Sigmodon,SF,199
1992,Neotoma,NL,220
1993,Neotoma,NL,233
1994,Neotoma,NL,226
1995,Neotoma,NL,171
1996,Neotoma,NL,185
1997,Neotoma,NL,231
1998,Neotoma,NL,238
1999,Neotoma,NL,227
2000,Neotoma,NL,265
2001,Neotoma,NL,280
2002,Neotoma,NL,248
